"UF de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total";"Ano"
"Amazonas";0;0;0;0;1;0;0;0;0;0;0;1;2016
"Roraima";13;21;2;0;0;3;1;0;0;0;0;40;2016
"Pará";40;96;42;25;15;89;39;5;4;4;3;362;2016
"Amapá";0;0;0;0;0;1;0;0;0;0;0;1;2016
"Tocantins";24;63;15;11;9;42;39;6;3;6;3;221;2016
"Maranhão";106;191;59;34;31;169;91;16;17;13;1;728;2016
"Piauí";15;33;9;5;5;60;37;8;10;4;0;186;2016
"Ceará";24;70;18;14;23;101;76;8;9;13;7;363;2016
"Rio Grande do Norte";5;8;4;2;6;35;22;2;0;3;1;88;2016
"Paraíba";2;9;3;2;2;6;6;1;1;1;0;33;2016
"Pernambuco";5;27;8;3;11;33;20;6;4;0;1;118;2016
"Alagoas";0;5;5;4;0;7;2;0;1;0;0;24;2016
"Sergipe";1;5;6;2;4;13;20;0;1;2;0;54;2016
"Bahia";12;55;27;13;13;66;40;11;4;6;0;247;2016
"Minas Gerais";40;129;28;16;20;117;131;31;17;26;11;566;2016
"Espírito Santo";2;2;1;0;1;6;2;0;0;0;0;14;2016
"Rio de Janeiro";0;0;1;1;0;1;4;0;1;0;0;8;2016
"São Paulo";17;29;2;4;5;33;49;9;4;7;4;163;2016
"Paraná";0;1;0;1;1;4;3;0;1;1;0;12;2016
"Santa Catarina";0;1;0;0;0;0;1;0;0;0;0;2;2016
"Rio Grande do Sul";0;1;0;0;0;0;0;1;0;0;0;2;2016
"Mato Grosso do Sul";11;22;7;0;2;39;30;3;7;6;1;128;2016
"Mato Grosso";1;4;0;1;0;8;2;0;0;0;0;16;2016
"Goiás";7;11;2;1;0;11;14;1;1;0;0;48;2016
"Distrito Federal";0;3;1;2;3;15;2;1;0;0;0;27;2016
