"UF de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total";"Ano"
"Roraima";10;21;3;0;0;0;1;1;0;0;0;36;2017
"Pará";41;146;85;34;36;132;77;7;12;6;4;580;2017
"Tocantins";27;46;22;9;16;55;43;5;6;11;2;242;2017
"Maranhão";107;262;66;34;32;154;101;15;11;6;5;793;2017
"Piauí";19;50;13;12;16;60;51;5;8;8;3;245;2017
"Ceará";17;71;21;14;21;86;108;15;10;15;11;389;2017
"Rio Grande do Norte";7;15;13;3;6;26;18;2;4;2;0;96;2017
"Paraíba";2;11;9;3;1;10;10;1;1;0;2;50;2017
"Pernambuco";12;49;10;8;8;51;34;3;4;3;3;185;2017
"Alagoas";6;17;3;1;2;15;3;0;0;1;0;48;2017
"Sergipe";3;12;11;3;2;24;17;2;0;0;1;75;2017
"Bahia";24;70;33;26;23;72;63;5;9;4;2;331;2017
"Minas Gerais";52;191;58;28;34;189;207;27;28;33;28;875;2017
"Espírito Santo";2;4;1;2;1;4;4;1;1;2;1;23;2017
"Rio de Janeiro";1;3;1;1;1;6;4;1;0;1;0;19;2017
"São Paulo";11;43;17;4;7;34;50;5;4;5;4;184;2017
"Paraná";1;0;0;0;0;4;0;0;0;0;0;5;2017
"Santa Catarina";0;1;0;1;0;1;1;0;0;0;0;4;2017
"Rio Grande do Sul";0;3;0;0;0;1;1;2;0;0;1;8;2017
"Mato Grosso do Sul";14;24;1;6;6;26;44;12;3;8;5;149;2017
"Mato Grosso";1;4;1;1;2;8;3;0;1;0;0;21;2017
"Goiás";6;18;7;4;2;16;12;0;3;1;0;69;2017
"Distrito Federal";1;5;1;0;0;10;6;0;1;0;1;25;2017
