"UF de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total";"Ano"
"Amazonas";0;0;0;0;0;1;1;0;0;0;0;2;2018
"Roraima";3;11;0;3;1;0;1;0;0;0;0;19;2018
"Pará";63;172;69;32;33;122;65;8;1;10;4;579;2018
"Amapá";0;0;0;0;0;0;0;0;0;0;1;1;2018
"Tocantins";31;51;14;5;7;60;51;4;5;10;3;241;2018
"Maranhão";117;252;61;28;30;148;93;9;10;8;4;760;2018
"Piauí";17;52;9;8;11;39;45;5;2;4;0;192;2018
"Ceará";16;65;26;17;29;89;93;19;10;17;4;385;2018
"Rio Grande do Norte";3;11;2;2;10;29;27;4;5;1;2;96;2018
"Paraíba";2;16;3;7;4;6;5;1;0;4;0;48;2018
"Pernambuco";14;37;26;8;15;52;31;1;3;8;5;200;2018
"Alagoas";1;25;18;10;11;24;14;1;1;0;0;105;2018
"Sergipe";5;6;6;6;9;18;20;2;1;2;0;75;2018
"Bahia";17;100;28;11;24;76;52;7;8;8;5;336;2018
"Minas Gerais";16;64;30;15;27;98;107;26;20;22;9;434;2018
"Espírito Santo";1;4;3;0;0;1;1;0;0;0;0;10;2018
"Rio de Janeiro";0;2;2;0;0;2;2;0;0;0;0;8;2018
"São Paulo";6;23;8;2;8;36;33;12;6;9;2;145;2018
"Paraná";0;1;0;0;1;2;3;0;1;1;0;9;2018
"Rio Grande do Sul";1;3;0;0;0;2;0;0;0;0;0;6;2018
"Mato Grosso do Sul";9;15;6;3;5;21;30;8;3;6;2;108;2018
"Mato Grosso";1;5;1;0;2;5;3;0;0;2;0;19;2018
"Goiás";4;17;2;1;1;13;12;2;1;2;2;57;2018
"Distrito Federal";0;0;0;0;0;8;5;0;0;2;0;15;2018
