"UF de notificação";"Masculino";"Feminino";"Total"
"Amazonas";1;0;1
"Roraima";13;7;20
"Pará";364;198;562
"Amapá";1;0;1
"Tocantins";169;83;252
"Maranhão";471;254;725
"Piauí";170;62;232
"Ceará";274;113;387
"Rio Grande do Norte";77;22;99
"Paraíba";30;17;47
"Pernambuco";136;62;198
"Alagoas";72;34;106
"Sergipe";53;27;80
"Bahia";212;111;323
"Minas Gerais";285;149;434
"Espírito Santo";4;6;10
"Rio de Janeiro";5;3;8
"São Paulo";106;46;152
"Paraná";8;1;9
"Rio Grande do Sul";3;3;6
"Mato Grosso do Sul";73;33;106
"Mato Grosso";10;8;18
"Goiás";29;17;46
"Distrito Federal";21;8;29
